,from,to,from_lat,from_lon,to_lat,to_lon,from_id,to_id
0,Pulo Gadung,Kalideres,-6.183878,106.908109,-6.1544244,106.7058378,83,36
0,Pulo Gadung,Kalideres,-6.183878,106.908109,-6.1544244,106.7058378,83,36
0,Pulo Gadung,Kalideres,-6.183878,106.908109,-6.1544244,106.7058378,83,36
0,Pulo Gadung,Kalideres,-6.183878,106.908109,-6.1544244,106.7058378,83,36
0,Pulo Gadung,Kalideres,-6.183878,106.908109,-6.1544244,106.7058378,83,36
0,Pulo Gadung,Kalideres,-6.183878,106.908109,-6.1544244,106.7058378,83,36
0,Pulo Gadung,Kalideres,-6.183878,106.908109,-6.1544244,106.7058378,83,36
1,Pulo Gadung,Rawa Buaya,-6.183878,106.908109,-6.153882500000001,106.7261659,83,70
1,Pulo Gadung,Rawa Buaya,-6.183878,106.908109,-6.153882500000001,106.7261659,83,70
1,Pulo Gadung,Rawa Buaya,-6.183878,106.908109,-6.153882500000001,106.7261659,83,70
1,Pulo Gadung,Rawa Buaya,-6.183878,106.908109,-6.153882500000001,106.7261659,83,70
1,Pulo Gadung,Rawa Buaya,-6.183878,106.908109,-6.153882500000001,106.7261659,83,70
1,Pulo Gadung,Rawa Buaya,-6.183878,106.908109,-6.153882500000001,106.7261659,83,70
1,Pulo Gadung,Rawa Buaya,-6.183878,106.908109,-6.153882500000001,106.7261659,83,70
1,Pulo Gadung,Rawa Buaya,-6.183878,106.908109,-6.153882500000001,106.7261659,83,70
2,Pulo Gadung,RS Sumber Waras,-6.183878,106.908109,-6.166276,106.79691,83,68
2,Pulo Gadung,RS Sumber Waras,-6.183878,106.908109,-6.166276,106.79691,83,68
2,Pulo Gadung,RS Sumber Waras,-6.183878,106.908109,-6.166276,106.79691,83,68
2,Pulo Gadung,RS Sumber Waras,-6.183878,106.908109,-6.166276,106.79691,83,68
2,Pulo Gadung,RS Sumber Waras,-6.183878,106.908109,-6.166276,106.79691,83,68
2,Pulo Gadung,RS Sumber Waras,-6.183878,106.908109,-6.166276,106.79691,83,68
2,Pulo Gadung,RS Sumber Waras,-6.183878,106.908109,-6.166276,106.79691,83,68
3,Pulo Gadung,Jelambar,-6.183878,106.908109,-6.1665472,106.7865203,83,33
3,Pulo Gadung,Jelambar,-6.183878,106.908109,-6.1665472,106.7865203,83,33
3,Pulo Gadung,Jelambar,-6.183878,106.908109,-6.1665472,106.7865203,83,33
3,Pulo Gadung,Jelambar,-6.183878,106.908109,-6.1665472,106.7865203,83,33
3,Pulo Gadung,Jelambar,-6.183878,106.908109,-6.1665472,106.7865203,83,33
3,Pulo Gadung,Jelambar,-6.183878,106.908109,-6.1665472,106.7865203,83,33
3,Pulo Gadung,Jelambar,-6.183878,106.908109,-6.1665472,106.7865203,83,33
3,Pulo Gadung,Jelambar,-6.183878,106.908109,-6.1665472,106.7865203,83,33
3,Pulo Gadung,Jelambar,-6.183878,106.908109,-6.1665472,106.7865203,83,33
4,Pulo Gadung,Taman Kota,-6.183878,106.908109,-6.1571254,106.7578861,83,85
4,Pulo Gadung,Taman Kota,-6.183878,106.908109,-6.1571254,106.7578861,83,85
4,Pulo Gadung,Taman Kota,-6.183878,106.908109,-6.1571254,106.7578861,83,85
4,Pulo Gadung,Taman Kota,-6.183878,106.908109,-6.1571254,106.7578861,83,85
4,Pulo Gadung,Taman Kota,-6.183878,106.908109,-6.1571254,106.7578861,83,85
4,Pulo Gadung,Taman Kota,-6.183878,106.908109,-6.1571254,106.7578861,83,85
5,Pulo Gadung,Indosiar,-6.183878,106.908109,-6.163389599999999,106.7752105,83,28
5,Pulo Gadung,Indosiar,-6.183878,106.908109,-6.163389599999999,106.7752105,83,28
5,Pulo Gadung,Indosiar,-6.183878,106.908109,-6.163389599999999,106.7752105,83,28
5,Pulo Gadung,Indosiar,-6.183878,106.908109,-6.163389599999999,106.7752105,83,28
6,Pulo Gadung,Grogol 1,-6.183878,106.908109,-6.1667809,106.7897088,83,25
6,Pulo Gadung,Grogol 1,-6.183878,106.908109,-6.1667809,106.7897088,83,25
6,Pulo Gadung,Grogol 1,-6.183878,106.908109,-6.1667809,106.7897088,83,25
6,Pulo Gadung,Grogol 1,-6.183878,106.908109,-6.1667809,106.7897088,83,25
6,Pulo Gadung,Grogol 1,-6.183878,106.908109,-6.1667809,106.7897088,83,25
6,Pulo Gadung,Grogol 1,-6.183878,106.908109,-6.1667809,106.7897088,83,25
7,Juanda,RS Sumber Waras,-6.168080199999999,106.8308848,-6.166276,106.79691,44,68
7,Juanda,RS Sumber Waras,-6.168080199999999,106.8308848,-6.166276,106.79691,44,68
7,Juanda,RS Sumber Waras,-6.168080199999999,106.8308848,-6.166276,106.79691,44,68
7,Juanda,RS Sumber Waras,-6.168080199999999,106.8308848,-6.166276,106.79691,44,68
8,Pulo Gadung,Pasar Baru,-6.183878,106.908109,-6.1623604,106.8381623,83,54
8,Pulo Gadung,Pasar Baru,-6.183878,106.908109,-6.1623604,106.8381623,83,54
8,Pulo Gadung,Pasar Baru,-6.183878,106.908109,-6.1623604,106.8381623,83,54
8,Pulo Gadung,Pasar Baru,-6.183878,106.908109,-6.1623604,106.8381623,83,54
8,Pulo Gadung,Pasar Baru,-6.183878,106.908109,-6.1623604,106.8381623,83,54
8,Pulo Gadung,Pasar Baru,-6.183878,106.908109,-6.1623604,106.8381623,83,54
8,Pulo Gadung,Pasar Baru,-6.183878,106.908109,-6.1623604,106.8381623,83,54
8,Pulo Gadung,Pasar Baru,-6.183878,106.908109,-6.1623604,106.8381623,83,54
8,Pulo Gadung,Pasar Baru,-6.183878,106.908109,-6.1623604,106.8381623,83,54
9,Pulo Mas,Kalideres,-6.174640000000001,106.8925871,-6.1544244,106.7058378,84,36
10,Pulo Gadung,Cempaka Timur,-6.183878,106.908109,-6.166629599999999,106.875826,83,6
10,Pulo Gadung,Cempaka Timur,-6.183878,106.908109,-6.166629599999999,106.875826,83,6
10,Pulo Gadung,Cempaka Timur,-6.183878,106.908109,-6.166629599999999,106.875826,83,6
10,Pulo Gadung,Cempaka Timur,-6.183878,106.908109,-6.166629599999999,106.875826,83,6
12,Pulo Gadung,Gambir 1,-6.183878,106.908109,-6.174589699999999,106.8303531,83,19
12,Pulo Gadung,Gambir 1,-6.183878,106.908109,-6.174589699999999,106.8303531,83,19
12,Pulo Gadung,Gambir 1,-6.183878,106.908109,-6.174589699999999,106.8303531,83,19
12,Pulo Gadung,Gambir 1,-6.183878,106.908109,-6.174589699999999,106.8303531,83,19
13,Pulo Gadung,Juanda,-6.183878,106.908109,-6.168080199999999,106.8308848,83,35
13,Pulo Gadung,Juanda,-6.183878,106.908109,-6.168080199999999,106.8308848,83,35
13,Pulo Gadung,Juanda,-6.183878,106.908109,-6.168080199999999,106.8308848,83,35
13,Pulo Gadung,Juanda,-6.183878,106.908109,-6.168080199999999,106.8308848,83,35
13,Pulo Gadung,Juanda,-6.183878,106.908109,-6.168080199999999,106.8308848,83,35
